,321100,321200,321910,3219A0,327100,327200,327310,327320,327330,327390,327400,327910,327991,327992,327993,327999,331110,331200,331313,33131B,331410,331420,331490,331510,331520,332114,33211A,332119,332200,332310,332320,332410,332420,332430,332500,332600,332710,332720,332800,332913,33291A,332991,332996,33299A,332999,333111,333112,333120,333130,333242,33329A,333314,333316,333318,333414,333415,333413,333511,333514,333517,33351B,333611,333612,333613,333618,333912,333914,333920,333991,333993,333994,33399A,33399B,334111,334112,334118,334210,334220,334290,334413,334418,33441A,334510,334511,334512,334513,334514,334515,334516,334517,33451A,334300,334610,335110,335120,335210,335220,335311,335312,335313,335314,335911,335912,335920,335930,335991,335999,336111,336112,336120,336211,336212,336213,336214,336310,336320,336350,336360,336370,336390,3363A0,336411,336412,336413,336414,33641A,336500,336611,336612,336991,336992,336999,337110,337121,337122,337127,33712N,337215,33721A,337900,339112,339113,339114,339115,339116,339910,339920,339930,339940,339950,339990,311111,311119,311210,311221,311225,311224,311230,311300,311410,311420,311513,311514,31151A,311520,311615,31161A,311700,311810,3118A0,311910,311920,311930,311940,311990,312110,312120,312130,312140,312200,313100,313200,313300,314110,314120,314900,315000,316000,322110,322120,322130,322210,322220,322230,322291,322299,323110,323120,324110,324121,324122,324190,325110,325120,325130,325180,325190,325211,3252A0,325411,325412,325413,325414,325310,325320,325510,325520,325610,325620,325910,3259A0,326110,326120,326130,326140,326150,326160,326190,326210,326220,326290,total
327400,,15,,71,9,51,59,,,,9,2,,21,,24,456,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,99,,,,,,,,,,,,,,,,,,,,,,159,16,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,96,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,5,8067
327910,69,16,16,27,9,3,11,53,11,24,16,230,51,,30,,19,4,0,6,,3,3,115,12,,3,14,25,228,34,12,7,4,74,2,105,99,105,11,35,15,3,40,39,10,5,21,60,15,137,,,19,4,27,5,35,28,56,60,116,2,2,20,19,61,42,8,5,1,37,151,,,0,,10,,7,4,5,,16,0,4,1,6,5,,7,,,0,,4,2,1,3,4,9,,,0,52,,3,,6,10,44,2,1,2,12,9,5,17,32,134,34,88,0,12,,1,5,10,5,,0,1,8,27,7,12,27,16,46,10,81,35,4,3,4,3,22,1,4,141,53,,,,,,,2,0,0,,,,,,1,,,,0,,,,,,,0,,,,,,,,,,,,,8,7,,,,,,1,,,,,,,,,,1,1,0,,,,,,,,,0,0,,6,7,4,,3,1,1,33,,,,4724
327991,,,,,13,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4943
327992,,,,,95,111,91,37,9,16,184,17,81,331,,,572,118,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,2,,,,,,6,6,1,,,70,37,,,,,,,,,,,,,,,3,,,,,,,7,,7,,,,3,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,8,,,,,,1,,,,,,150,,747,,,,,83,,,,,,,,,,,4070
327993,,2,166,57,8,138,30,139,31,64,4,,,,7,,1,9,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,106,,,,,,,13,,,,1,24,,,,,,27,27,23,,,399,102,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6179
327999,,,,,9,,19,92,8,21,11,6,27,,,125,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,239,,,406,,,,,,,,,,16,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,0,13,1,,,,,16,16,13,,,213,61,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,5103
331110,,,4,98,,,,,26,89,,41,,198,24,3,7506,7832,,50,,,62,857,,1992,1815,2420,1105,12143,7602,691,1488,847,827,600,2026,2473,939,9,827,263,1060,134,1809,2679,295,3143,1554,32,961,34,2,593,502,1496,414,254,228,432,334,322,48,300,539,120,452,4270,164,25,116,1803,464,,0,2,62,37,8,56,52,160,53,12,7,26,15,5,90,36,8,13,0,,89,33,1074,322,113,646,194,296,20,14,483,,28,10,1896,85,784,587,5,300,415,214,457,52,11544,1592,1285,3650,18,178,16,13,873,328,49,227,653,394,,178,0,166,177,550,564,20,229,131,9,,15,5,145,4,8,481,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,53,,,,,1,13,,,,,,,10,36,1,,,,,,,,,,,,,,1,,,,,,,64,,,105,101973
331200,,4,,,,,,,170,756,,,,,,,659,241,,,,,3,,,,,33,62,903,43,11,7,,45,1526,266,1626,,,7,,,16,149,,,,,10,347,,,,,89,1,,,,,,,,,,,,,,,144,,,,,,,,,6,5,,,,,,,,,,,,,270,2,,1,83,,,,,79,,,,,,,,,,,14,4,1,,101,14,1,,,,,,,,,,,,,,4,6,,,,,,1,,,,,,,,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,341,104,,9247
331313,,,,30,,,,,,,,,,,,,353,58,767,8450,,9,0,12,1182,65,370,29,50,,65,123,7,955,76,24,245,,22,,17,,7,70,6,,,,,5,49,47,,1,10,28,46,31,18,,7,,,,,34,107,62,,16,10,207,3,,0,0,8,25,5,1,1,36,,18,1,13,5,3,38,,2,,0,,24,1,78,1,21,,,,,,21,,83,3,480,18,5,9,16,294,48,55,320,5,19,74,80,8,0,35,30,3,,12,10,48,1104,40,,41,0,80,121,103,104,62,,4,1,,1,1,16,,,,48,1,1,,,,,1,1,,1,1,1,1,1,0,1,1,,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8816
33131B,,,17,27,,,,,,37,,,,,18,,,,36,3482,,9,2,,,348,14,216,80,420,2133,302,146,3535,178,53,507,548,,10,2,,37,2,1102,1,,,,79,199,23,,92,6,881,43,130,274,,63,98,8,17,5,14,133,27,,5,48,45,91,,0,1,0,28,3,15,114,46,,10,1,5,5,1,39,,2,,0,,648,0,54,11,6,105,33,,,508,4,,,6,1096,47,412,907,5,44,19,36,38,16,788,62,11,144,2,453,,7,,432,378,347,71,25,76,231,1,81,180,123,184,104,,7,1,,1,1,144,,2,,62,2,3,,,,,3,5,,2,2,3,2,2,1,2,2,,2,2,2,2,2,2,1793,,,,,,,,,,,,,,,,97,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,110,,,,25546
